date,price
2004-08-19,100.00999999999999
2004-08-20,104.78999999999999
2004-08-23,111.265
2004-08-24,107.585
2004-08-25,105.94
2004-08-26,106.305
2004-08-27,107.155
2004-08-30,103.75
2004-08-31,102.935
2004-09-01,101.32
2004-09-02,100.655
2004-09-03,100.53
2004-09-07,100.805
2004-09-08,101.765
2004-09-09,101.85499999999999
2004-09-10,103.93
2004-09-13,107.435
2004-09-14,109.39500000000001
2004-09-15,112.215
2004-09-16,113.725
2004-09-17,115.52
2004-09-20,119.185
2004-09-21,118.965
2004-09-22,118.24000000000001
2004-09-23,119.82499999999999
2004-09-24,121.93
2004-09-27,119.34
2004-09-28,123.805
2004-09-29,130.625
2004-09-30,130.65
2004-10-01,131.57
2004-10-04,135.45
2004-10-05,135.385
2004-10-06,137.225
2004-10-07,138.215
2004-10-08,138.35000000000002
2004-10-11,136.35500000000002
2004-10-12,135.505
2004-10-13,141.815
2004-10-14,140.47
2004-10-15,143.725
2004-10-18,145.20499999999998
2004-10-19,149.875
2004-10-20,144.29500000000002
2004-10-21,145.875
2004-10-22,172.125
2004-10-25,183.49
2004-10-26,186.32
2004-10-27,185.645
2004-10-28,189.995
2004-10-29,195.27499999999998
2004-11-01,194.47
2004-11-02,196.29500000000002
2004-11-03,196.175
2004-11-04,186.875
2004-11-05,175.425
2004-11-08,172.42000000000002
2004-11-09,170.235
2004-11-10,169.425
2004-11-11,175.66
2004-11-12,183.60000000000002
2004-11-15,183.535
2004-11-16,175.15
2004-11-17,173.25
2004-11-18,170.075
2004-11-19,168.25
2004-11-22,165.405
2004-11-23,168.66500000000002
2004-11-24,174.86
2004-11-26,177.675
2004-11-29,180.23
2004-11-30,181.625
2004-12-01,181.025
2004-12-02,180.03
2004-12-03,179.32999999999998
2004-12-06,178.36
2004-12-07,173.375
2004-12-08,171.20499999999998
2004-12-09,170.985
2004-12-10,173.08499999999998
2004-12-13,171.315
2004-12-14,174.20999999999998
2004-12-15,178.675
2004-12-16,178.22
2004-12-17,178.525
2004-12-20,185.16500000000002
2004-12-21,185.64
2004-12-22,184.93
2004-12-23,187.3
2004-12-27,191.2
2004-12-28,192.28
2004-12-29,192.65
2004-12-30,195.04
2004-12-31,196.22
2005-01-03,199.55
2005-01-04,198.20499999999998
2005-01-05,194.565
2005-01-06,191.81
2005-01-07,191.515
2005-01-10,194.965
2005-01-11,195.445
2005-01-12,193.215
2005-01-13,195.72
2005-01-14,197.07
2005-01-18,201.84
2005-01-19,201.005
2005-01-20,194.125
2005-01-21,191.74
2005-01-24,184.825
2005-01-25,179.265
2005-01-26,184.28
2005-01-27,187.03
2005-01-28,190.51999999999998
2005-01-31,194.04000000000002
2005-02-01,197.19
2005-02-02,210.23000000000002
2005-02-03,209.59
2005-02-04,205.175
2005-02-07,200.95499999999998
2005-02-08,197.275
2005-02-09,195.53
2005-02-10,188.73000000000002
2005-02-11,189.195
2005-02-14,187.04000000000002
2005-02-15,196.46
2005-02-16,196.815
2005-02-17,198.28
2005-02-18,197.75
2005-02-22,194.64499999999998
2005-02-23,191.57
2005-02-24,186.04
2005-02-25,187.71499999999997
2005-02-28,187.86
2005-03-01,187.57
2005-03-02,186.015
2005-03-03,186.03
2005-03-04,186.16
2005-03-07,188.315
2005-03-08,187.41
2005-03-09,182.405
2005-03-10,179.3
2005-03-11,179.05
2005-03-14,175.485
2005-03-15,177.10500000000002
2005-03-16,176.81
2005-03-17,177.72
2005-03-18,179.35500000000002
2005-03-21,179.70999999999998
2005-03-22,179.89499999999998
2005-03-23,179.10500000000002
2005-03-24,180.03
2005-03-28,182.875
2005-03-29,180.675
2005-03-30,180.52499999999998
2005-03-31,179.515
2005-04-01,181.47
2005-04-04,182.57999999999998
2005-04-05,188.915
2005-04-06,188.615
2005-04-07,191.63
2005-04-08,193.27499999999998
2005-04-11,193.56
2005-04-12,191.915
2005-04-13,192.02499999999998
2005-04-14,192.23000000000002
2005-04-15,187.5
2005-04-18,185.685
2005-04-19,190.015
2005-04-20,198.20499999999998
2005-04-21,202.16
2005-04-22,219.13
2005-04-25,221.13
2005-04-26,220.14499999999998
2005-04-27,218.79500000000002
2005-04-28,219.895
2005-04-29,220.035
2005-05-02,221.95499999999998
2005-05-03,224.735
2005-05-04,228.4395
2005-05-05,227.25
2005-05-06,227.86
2005-05-09,226.965
2005-05-10,226.26
2005-05-11,229.95499999999998
2005-05-12,230.21499999999997
2005-05-13,229.20499999999998
2005-05-16,230.095
2005-05-17,231.825
2005-05-18,236.745
2005-05-19,239.72
2005-05-20,240.66
2005-05-23,250.40500000000003
2005-05-24,259.47
2005-05-25,255.805
2005-05-26,261.03
2005-05-27,262.65
2005-05-31,273.885
2005-06-01,287.455
2005-06-02,287.19
2005-06-03,283.355
2005-06-06,287.78999999999996
2005-06-07,294.945
2005-06-08,285.595
2005-06-09,284.53
2005-06-10,283.65
2005-06-13,280.355
2005-06-14,279.495
2005-06-15,272.365
2005-06-16,275.685
2005-06-17,278.1
2005-06-20,279.701
2005-06-21,287.635
2005-06-22,290.495
2005-06-23,290.655
2005-06-24,293.78999999999996
2005-06-27,299.165
2005-06-28,305.625
2005-06-29,298.265
2005-06-30,294.985
2005-07-01,292.73
2005-07-05,293.105
2005-07-06,294.49
2005-07-07,292.155
2005-07-08,295.775
2005-07-11,293.81
2005-07-12,292.66499999999996
2005-07-13,295.67
2005-07-14,303.40999999999997
2005-07-15,301.59
2005-07-18,299.825
2005-07-19,306.07500000000005
2005-07-20,307.20439999999996
2005-07-21,314.505
2005-07-22,302.78999999999996
2005-07-25,299.125
2005-07-26,295.04499999999996
2005-07-27,295.315
2005-07-28,295.345
2005-07-29,289.91499999999996
2005-08-01,290.3
2005-08-02,295.32
2005-08-03,297.66
2005-08-04,297.125
2005-08-05,294.90999999999997
2005-08-08,293.07
2005-08-09,290.595
2005-08-10,288.605
2005-08-11,283.6
2005-08-12,285.91999999999996
2005-08-15,288.27
2005-08-16,285.565
2005-08-17,285.28499999999997
2005-08-18,277.75
2005-08-19,280.53499999999997
2005-08-22,277.41
2005-08-23,276.93
2005-08-24,280.6
2005-08-25,281.985
2005-08-26,283.84000000000003
2005-08-29,285.68
2005-08-30,287.695
2005-08-31,286.43
2005-09-01,286.25
2005-09-02,288.21500000000003
2005-09-06,288.095
2005-09-07,290.39
2005-09-08,296.32
2005-09-09,297.83000000000004
2005-09-12,306.21000000000004
2005-09-13,310.85
2005-09-14,306.78999999999996
2005-09-15,302.33000000000004
2005-09-16,302.185
2005-09-19,303.355
2005-09-20,308.265
2005-09-21,309.86
2005-09-22,314.69500000000005
2005-09-23,314.9
2005-09-26,316.755
2005-09-27,315.895
2005-09-28,310.35
2005-09-29,308.4
2005-09-30,314.895
2005-10-03,316.45000000000005
2005-10-04,316.01
2005-10-05,311.45
2005-10-06,312.28499999999997
2005-10-07,313.605
2005-10-10,311.985
2005-10-11,308.755
2005-10-12,303.095
2005-10-13,296.3425
2005-10-14,296.385
2005-10-17,299.88
2005-10-18,305.35
2005-10-19,306.91499999999996
2005-10-20,306.16999999999996
2005-10-21,339.71500000000003
